# Log header
#-------------------------------------
# Application: Adult Respiration
# Log description: 
# Device: XeThru X4M200, USB, \\.\COM5
# FW Version: 1.6.8
# SW Version: 2.7.3
# Time: 4/28/2021 8:08 PM
#
# Module settings
#-------------------------------------
# Detection zone: 0.385761 to 0.797284
# Sensitivity: 5
#-------------------------------------
TimeStamp;FrameCounter;State;RPM;Distance;RespirationConfidence;HeartBPM;HeartDistance;HeartConfidence;NormalizedMovementSlow;NormalizedMovementFast;NormalizedMovementStart;NormalizedMovementEnd
2021-04-28T20:08:05.680-04:00;10165;1;0;0.377543;0;nan;nan;nan;1458.52;567.493;-0.122457;0.877543
2021-04-28T20:08:06.676-04:00;10182;2;0;0.371324;0;nan;nan;nan;1376.71;403.9;-0.128676;0.871324
2021-04-28T20:08:07.673-04:00;10199;2;0;0.370674;0;nan;nan;nan;1279.98;456.122;-0.129326;0.870674
2021-04-28T20:08:08.671-04:00;10216;1;0;0.372768;0;nan;nan;nan;1148.23;564.618;-0.127232;0.872768
2021-04-28T20:08:09.667-04:00;10233;1;0;0.375152;0;nan;nan;nan;1017.42;806.948;-0.124848;0.875152
2021-04-28T20:08:10.663-04:00;10250;1;0;0.377595;0;nan;nan;nan;970.643;1280.41;-0.122405;0.877595
2021-04-28T20:08:11.660-04:00;10267;1;0;0.379814;0;nan;nan;nan;1054.29;1545.62;-0.120186;0.879814
2021-04-28T20:08:12.658-04:00;10284;1;0;0.382916;0;nan;nan;nan;1252.98;1372.92;-0.117084;0.882916
2021-04-28T20:08:13.683-04:00;10301;2;0;0.386012;0;nan;nan;nan;1491.4;1376.82;-0.113988;0.886012
2021-04-28T20:08:14.651-04:00;10318;1;0;0.395767;0;nan;nan;nan;1699.74;1004.13;-0.104233;0.895766
2021-04-28T20:08:15.648-04:00;10335;1;0;0.397792;0;nan;nan;nan;1846.63;867.303;-0.102208;0.897792
2021-04-28T20:08:16.646-04:00;10352;2;0;0.400841;0;nan;nan;nan;1985.12;980.711;-0.0991593;0.900841
2021-04-28T20:08:17.642-04:00;10369;1;0;0.409407;0;nan;nan;nan;2112.7;1053.21;-0.0905933;0.909407
2021-04-28T20:08:18.639-04:00;10386;1;0;0.458874;0;nan;nan;nan;2217.41;1080.02;-0.0411259;0.958874
2021-04-28T20:08:19.637-04:00;10403;1;0;0.37352;0;nan;nan;nan;2343.65;1725.65;-0.12648;0.87352
