# Log header
#-------------------------------------
# Application: Adult Respiration
# Log description: 
# Device: XeThru X4M200, USB, \\.\COM5
# FW Version: 1.6.8
# SW Version: 2.7.3
# Time: 4/28/2021 8:13 PM
#
# Module settings
#-------------------------------------
# Detection zone: 0.385761 to 0.797284
# Sensitivity: 5
#-------------------------------------
TimeStamp;FrameCounter;State;RPM;Distance;RespirationConfidence;HeartBPM;HeartDistance;HeartConfidence;NormalizedMovementSlow;NormalizedMovementFast;NormalizedMovementStart;NormalizedMovementEnd
2021-04-28T20:13:38.656-04:00;15843;2;0;0.395978;0;nan;nan;nan;2536.88;647.466;-0.104022;0.895978
2021-04-28T20:13:39.634-04:00;15860;1;0;0.399406;0;nan;nan;nan;2392.62;566.012;-0.100594;0.899406
2021-04-28T20:13:40.630-04:00;15877;1;0;0.386691;0;nan;nan;nan;2243.74;610.504;-0.113309;0.886691
2021-04-28T20:13:41.628-04:00;15894;2;0;0.392558;0;nan;nan;nan;2074.41;745.104;-0.107442;0.892558
2021-04-28T20:13:42.624-04:00;15911;1;0;0.361319;0;nan;nan;nan;1917.45;1108.14;-0.138681;0.861319
2021-04-28T20:13:43.621-04:00;15928;1;0;0.39903;0;nan;nan;nan;1785.75;1657.65;-0.10097;0.89903
2021-04-28T20:13:44.618-04:00;15945;1;0;0.362457;0;nan;nan;nan;1708.01;2336.6;-0.137543;0.862457
2021-04-28T20:13:45.615-04:00;15962;2;0;0.365265;0;nan;nan;nan;1684.2;2541.38;-0.134735;0.865265
2021-04-28T20:13:46.640-04:00;15979;2;0;0.361927;0;nan;nan;nan;1725.37;2673.79;-0.138073;0.861927
2021-04-28T20:13:47.609-04:00;15996;2;0;0.393712;0;nan;nan;nan;2008.29;3396.68;-0.106288;0.893712
2021-04-28T20:13:48.606-04:00;16013;2;0;0.405844;0;nan;nan;nan;2553.41;4395.63;-0.0941558;0.905844
2021-04-28T20:13:49.602-04:00;16030;1;0;0.366452;0;nan;nan;nan;3142.89;4225.74;-0.133548;0.866452
2021-04-28T20:13:50.599-04:00;16047;1;0;0.372892;0;nan;nan;nan;3527.75;4693.25;-0.127108;0.872892
2021-04-28T20:13:51.596-04:00;16064;2;0;0.402056;0;nan;nan;nan;3766.31;3435.98;-0.0979439;0.902056
2021-04-28T20:13:52.594-04:00;16081;2;0;0.383751;0;nan;nan;nan;3974.99;3499.38;-0.116249;0.883751
2021-04-28T20:13:53.591-04:00;16098;1;0;0.407948;0;nan;nan;nan;4196.09;3445.46;-0.092052;0.907948
2021-04-28T20:13:54.587-04:00;16115;1;0;0.459075;0;nan;nan;nan;4402.39;2641.99;-0.0409254;0.959075
2021-04-28T20:13:55.584-04:00;16132;2;0;0.454674;0;nan;nan;nan;4564.44;1613.69;-0.0453257;0.954674
2021-04-28T20:13:56.581-04:00;16149;1;0;0.46059;0;nan;nan;nan;4649.32;679.542;-0.0394104;0.96059
2021-04-28T20:13:57.578-04:00;16166;1;0;0.457968;0;nan;nan;nan;4634.69;181.756;-0.0420316;0.957968
2021-04-28T20:13:58.589-04:00;16183;1;0;0.45434;0;nan;nan;nan;4455.78;79.3839;-0.0456595;0.95434
2021-04-28T20:13:59.572-04:00;16200;1;0;0.451499;0;nan;nan;nan;3987.4;62.0359;-0.0485006;0.951499
2021-04-28T20:14:00.569-04:00;16217;1;0;0.458299;0;nan;nan;nan;3289.27;23.471;-0.0417014;0.958299
2021-04-28T20:14:01.566-04:00;16234;2;0;0.457253;0;nan;nan;nan;2588.66;70.345;-0.0427474;0.957253
2021-04-28T20:14:02.563-04:00;16251;1;0;0.461802;0;nan;nan;nan;2089.8;159.949;-0.0381985;0.961802
2021-04-28T20:14:03.559-04:00;16268;1;0;0.407258;0;nan;nan;nan;1786.22;178.207;-0.0927423;0.907258
2021-04-28T20:14:04.556-04:00;16285;1;0;0.40255;0;nan;nan;nan;1569.25;190.605;-0.09745;0.90255
2021-04-28T20:14:05.553-04:00;16302;2;0;0.459363;0;nan;nan;nan;1379.35;97.4552;-0.0406372;0.959363
2021-04-28T20:14:06.550-04:00;16319;2;0;0.40187;0;nan;nan;nan;1197.44;38.4491;-0.0981301;0.90187
2021-04-28T20:14:07.547-04:00;16336;2;0;0.449788;0;nan;nan;nan;991.612;19.4374;-0.0502117;0.949788
2021-04-28T20:14:08.543-04:00;16353;1;0;0.421818;0;nan;nan;nan;792.946;12.0811;-0.0781824;0.921818
2021-04-28T20:14:09.540-04:00;16370;1;0;0.496274;0;nan;nan;nan;643.445;5.50525;-0.00372595;0.996274
2021-04-28T20:14:10.537-04:00;16387;1;0;0.461295;0;nan;nan;nan;556.291;23;-0.0387052;0.961295
2021-04-28T20:14:11.534-04:00;16404;1;0;0.454691;0;nan;nan;nan;527.602;35.4391;-0.0453085;0.954692
2021-04-28T20:14:12.531-04:00;16421;2;0;0.498503;0;nan;nan;nan;525.898;36.6423;-0.00149682;0.998503
2021-04-28T20:14:13.528-04:00;16438;2;0;0.462079;0;nan;nan;nan;522.234;37.149;-0.0379215;0.962079
2021-04-28T20:14:14.525-04:00;16455;1;0;0.460507;0;nan;nan;nan;499.212;14.1371;-0.0394932;0.960507
2021-04-28T20:14:15.522-04:00;16472;1;0;0.496769;0;nan;nan;nan;441.201;5.61668;-0.00323072;0.996769
2021-04-28T20:14:16.519-04:00;16489;1;0;0.494124;0;nan;nan;nan;366.406;6.08693;-0.00587559;0.994124
2021-04-28T20:14:17.516-04:00;16506;1;0;0.383981;0;nan;nan;nan;290.777;50.3424;-0.116019;0.883981
2021-04-28T20:14:18.512-04:00;16523;1;0;0.407564;0;nan;nan;nan;247.499;249.722;-0.0924357;0.907564
2021-04-28T20:14:19.509-04:00;16540;1;0;0.388728;0;nan;nan;nan;263.242;286.821;-0.111272;0.888728
2021-04-28T20:14:20.506-04:00;16557;1;0;0.375253;0;nan;nan;nan;330.805;293.358;-0.124747;0.875253
2021-04-28T20:14:21.503-04:00;16574;1;0;0.374111;0;nan;nan;nan;411.685;211.402;-0.125889;0.874111
2021-04-28T20:14:22.500-04:00;16591;1;0;0.40149;0;nan;nan;nan;475.12;52.3506;-0.0985104;0.90149
2021-04-28T20:14:23.496-04:00;16608;1;0;0.411108;0;nan;nan;nan;532.979;33.0456;-0.0888915;0.911108
2021-04-28T20:14:24.493-04:00;16625;2;0;0.376484;0;nan;nan;nan;584.692;27.4363;-0.123516;0.876484
2021-04-28T20:14:25.490-04:00;16642;2;0;0.369019;0;nan;nan;nan;615.311;21.8913;-0.130981;0.869019
2021-04-28T20:14:26.487-04:00;16659;1;0;0.409336;0;nan;nan;nan;630.439;14.1072;-0.0906639;0.909336
2021-04-28T20:14:27.485-04:00;16676;1;0;0.393877;0;nan;nan;nan;645.605;7.26202;-0.106123;0.893877
2021-04-28T20:14:28.481-04:00;16693;1;0;0.372366;0;nan;nan;nan;659.706;3.86979;-0.127634;0.872365
2021-04-28T20:14:29.478-04:00;16710;2;0;0.370118;0;nan;nan;nan;669.352;1.76718;-0.129882;0.870118
