# Log header
#-------------------------------------
# Application: Adult Respiration
# Log description: 
# Device: XeThru X4M200, USB, \\.\COM5
# FW Version: 1.6.8
# SW Version: 2.7.3
# Time: 4/28/2021 9:48 PM
#
# Module settings
#-------------------------------------
# Detection zone: 0.385761 to 0.797284
# Sensitivity: 5
#-------------------------------------
TimeStamp;FrameCounter;State;RPM;Distance;RespirationConfidence;HeartBPM;HeartDistance;HeartConfidence;NormalizedMovementSlow;NormalizedMovementFast;NormalizedMovementStart;NormalizedMovementEnd
2021-04-28T21:48:31.470-04:00;25479;2;0;0.39757;0;nan;nan;nan;776.512;339.872;-0.10243;0.89757
2021-04-28T21:48:32.465-04:00;25496;2;0;0.389204;0;nan;nan;nan;743.166;712.93;-0.110796;0.889204
2021-04-28T21:48:33.461-04:00;25513;0;13.167;0.512769;0;nan;nan;nan;764.725;1053.48;0.0127686;1.01277
2021-04-28T21:48:34.458-04:00;25530;0;13.069;0.519025;0;nan;nan;nan;862.812;1135.3;0.0190253;1.01903
2021-04-28T21:48:35.454-04:00;25547;0;13.1102;0.521844;0;nan;nan;nan;1003.91;1065.56;0.0218442;1.02184
2021-04-28T21:48:36.451-04:00;25564;0;13.1519;0.523622;0;nan;nan;nan;1133.06;597.99;0.0236217;1.02362
2021-04-28T21:48:37.448-04:00;25581;0;13.1519;0.523622;0;nan;nan;nan;1211.6;523.745;0.0236217;1.02362
2021-04-28T21:48:38.445-04:00;25598;0;13.1519;0.523622;0;nan;nan;nan;1267.31;469.767;0.0236217;1.02362
2021-04-28T21:48:39.470-04:00;25615;0;13.1519;0.523622;0;nan;nan;nan;1337.92;388.698;0.0236217;1.02362
2021-04-28T21:48:40.439-04:00;25632;1;0;0.396222;0;nan;nan;nan;1429.62;379.293;-0.103778;0.896222
2021-04-28T21:48:41.435-04:00;25649;1;0;0.407929;0;nan;nan;nan;1496.73;144.771;-0.0920713;0.907929
2021-04-28T21:48:42.433-04:00;25666;2;0;0.410861;0;nan;nan;nan;1510.74;35.8374;-0.0891394;0.910861
2021-04-28T21:48:43.430-04:00;25683;1;0;0.447687;0;nan;nan;nan;1497.43;98.3661;-0.0523127;0.947687
2021-04-28T21:48:44.427-04:00;25700;1;0;0.403218;0;nan;nan;nan;1488.19;227.951;-0.0967824;0.903218
2021-04-28T21:48:45.423-04:00;25717;1;0;0.454427;0;nan;nan;nan;1473.14;316.679;-0.0455729;0.954427
2021-04-28T21:48:46.420-04:00;25734;1;0;0.450773;0;nan;nan;nan;1428.27;491.219;-0.049227;0.950773
2021-04-28T21:48:47.417-04:00;25751;1;0;0.410163;0;nan;nan;nan;1341.13;436.405;-0.0898365;0.910163
2021-04-28T21:48:48.414-04:00;25768;1;0;0.4074;0;nan;nan;nan;1241.79;323.001;-0.0925996;0.9074
2021-04-28T21:48:49.410-04:00;25785;1;0;0.441036;0;nan;nan;nan;1164.58;170.65;-0.0589644;0.941036
2021-04-28T21:48:50.408-04:00;25802;1;0;0.430643;0;nan;nan;nan;1094.2;12.2142;-0.069357;0.930643
2021-04-28T21:48:51.405-04:00;25819;2;0;0.430527;0;nan;nan;nan;991.314;0.656915;-0.0694728;0.930527
2021-04-28T21:48:52.402-04:00;25836;1;0;0.428374;0;nan;nan;nan;851.588;0.678107;-0.0716263;0.928374
2021-04-28T21:48:53.398-04:00;25853;1;0;0.428518;0;nan;nan;nan;711.242;0.568872;-0.0714816;0.928518
2021-04-28T21:48:54.396-04:00;25870;1;0;0.379162;0;nan;nan;nan;610.7;0.773156;-0.120838;0.879162
2021-04-28T21:48:55.393-04:00;25887;1;0;0.384445;0;nan;nan;nan;558.988;0.878846;-0.115555;0.884445
2021-04-28T21:48:56.390-04:00;25904;1;0;0.383945;0;nan;nan;nan;529.179;2.65105;-0.116055;0.883945
2021-04-28T21:48:57.386-04:00;25921;1;0;0.389257;0;nan;nan;nan;490.304;3.7654;-0.110743;0.889257
2021-04-28T21:48:58.383-04:00;25938;2;0;0.449534;0;nan;nan;nan;420.264;3.13484;-0.0504661;0.949534
2021-04-28T21:48:59.380-04:00;25955;2;0;0.441438;0;nan;nan;nan;319.169;4.1468;-0.0585623;0.941438
2021-04-28T21:49:00.377-04:00;25972;2;0;0.445639;0;nan;nan;nan;218.14;3.43954;-0.0543608;0.945639
2021-04-28T21:49:01.373-04:00;25989;2;0;0.425759;0;nan;nan;nan;146.333;4.55932;-0.0742414;0.925759
2021-04-28T21:49:02.371-04:00;26006;2;0;0.458193;0;nan;nan;nan;108.02;4.35969;-0.0418073;0.958193
2021-04-28T21:49:03.367-04:00;26023;0;14.4656;0.512546;0;nan;nan;nan;94.4961;3.3379;0.0125461;1.01255
2021-04-28T21:49:04.364-04:00;26040;0;14.3623;0.510821;0;nan;nan;nan;94.1703;3.78765;0.0108208;1.01082
2021-04-28T21:49:05.361-04:00;26057;0;14.5074;0.512814;0;nan;nan;nan;100.159;2.84051;0.0128143;1.01281
2021-04-28T21:49:06.358-04:00;26074;0;14.6926;0.513491;0;nan;nan;nan;109.322;2.42172;0.0134912;1.01349
2021-04-28T21:49:07.355-04:00;26091;0;14.9594;0.513322;0;nan;nan;nan;121.927;2.32853;0.0133222;1.01332
2021-04-28T21:49:08.351-04:00;26108;0;15.4033;0.516421;0;nan;nan;nan;137.517;4.1404;0.0164207;1.01642
2021-04-28T21:49:09.348-04:00;26125;0;15.6401;0.517975;0;nan;nan;nan;150.998;3.93573;0.0179753;1.01798
2021-04-28T21:49:10.345-04:00;26142;0;15.8611;0.523196;0;nan;nan;nan;156.432;3.46334;0.0231963;1.0232
2021-04-28T21:49:11.341-04:00;26159;0;16.0826;0.525569;0;nan;nan;nan;157.193;2.99259;0.0255688;1.02557
2021-04-28T21:49:12.338-04:00;26176;0;16.3001;0.52867;0;nan;nan;nan;159.4;2.00624;0.0286697;1.02867
2021-04-28T21:49:13.335-04:00;26193;0;16.5118;0.531132;0;nan;nan;nan;167.207;2.17927;0.0311323;1.03113
2021-04-28T21:49:14.332-04:00;26210;0;16.7609;0.532382;0;nan;nan;nan;178.716;2.1258;0.0323815;1.03238
2021-04-28T21:49:15.330-04:00;26227;0;8.12218;0.554793;0;nan;nan;nan;188.193;2.63015;0.0547932;1.05479
2021-04-28T21:49:16.327-04:00;26244;0;8.86684;0.551272;0;nan;nan;nan;190.927;2.37021;0.0512719;1.05127
