# Log header
#-------------------------------------
# Application: Adult Respiration
# Log description: 
# Device: XeThru X4M200, USB, \\.\COM5
# FW Version: 1.6.8
# SW Version: 2.7.3
# Time: 4/28/2021 6:41 PM
#
# Module settings
#-------------------------------------
# Detection zone: 0.385761 to 0.797284
# Sensitivity: 5
#-------------------------------------
TimeStamp;FrameCounter;State;RPM;Distance;RespirationConfidence;HeartBPM;HeartDistance;HeartConfidence;NormalizedMovementSlow;NormalizedMovementFast;NormalizedMovementStart;NormalizedMovementEnd
2021-04-28T18:41:19.030-04:00;4816;2;0;0.498263;0;nan;nan;nan;1608.45;173.018;-0.00173736;0.998263
2021-04-28T18:41:20.024-04:00;4833;2;0;0.513774;0;nan;nan;nan;1549;87.6749;0.0137737;1.01377
2021-04-28T18:41:21.021-04:00;4850;2;0;0.494138;0;nan;nan;nan;1485.52;78.5396;-0.00586239;0.994138
2021-04-28T18:41:22.018-04:00;4867;1;0;0.509897;0;nan;nan;nan;1463.36;768.197;0.00989717;1.0099
2021-04-28T18:41:23.014-04:00;4884;1;0;0.392015;0;nan;nan;nan;1503.12;1236.67;-0.107985;0.892015
2021-04-28T18:41:24.012-04:00;4901;1;0;0.39727;0;nan;nan;nan;1606.04;1274.56;-0.10273;0.89727
2021-04-28T18:41:25.008-04:00;4918;1;0;0.379308;0;nan;nan;nan;1740.77;1315.21;-0.120692;0.879308
2021-04-28T18:41:26.005-04:00;4935;1;0;0.387525;0;nan;nan;nan;1853.75;835.719;-0.112475;0.887525
2021-04-28T18:41:27.030-04:00;4952;2;0;0.409329;0;nan;nan;nan;1944.75;784.552;-0.0906714;0.909329
2021-04-28T18:41:27.999-04:00;4969;2;0;0.404619;0;nan;nan;nan;1978.4;756.668;-0.0953811;0.904619
2021-04-28T18:41:28.996-04:00;4986;2;0;0.555182;0;nan;nan;nan;1877.61;492.723;0.0551815;1.05518
2021-04-28T18:41:29.992-04:00;5003;2;0;0.557134;0;nan;nan;nan;1667.59;183.438;0.0571343;1.05713
2021-04-28T18:41:30.990-04:00;5020;1;0;0.382513;0;nan;nan;nan;1476.27;548.289;-0.117487;0.882513
2021-04-28T18:41:31.986-04:00;5037;1;0;0.378033;0;nan;nan;nan;1427.19;809.739;-0.121967;0.878033
2021-04-28T18:41:32.983-04:00;5054;1;0;0.565787;0;nan;nan;nan;1515.98;1047.14;0.0657867;1.06579
2021-04-28T18:41:33.980-04:00;5071;1;0;0.400967;0;nan;nan;nan;1665.77;1004.59;-0.0990332;0.900967
2021-04-28T18:41:34.977-04:00;5088;1;0;0.393127;0;nan;nan;nan;1762.01;486.37;-0.106873;0.893127
2021-04-28T18:41:35.974-04:00;5105;1;0;0.37956;0;nan;nan;nan;1744.91;301.482;-0.12044;0.87956
2021-04-28T18:41:36.971-04:00;5122;1;0;0.376804;0;nan;nan;nan;1667.03;86.8591;-0.123196;0.876804
2021-04-28T18:41:37.968-04:00;5139;1;0;0.373492;0;nan;nan;nan;1575.3;58.2866;-0.126508;0.873492
2021-04-28T18:41:38.965-04:00;5156;1;0;0.373266;0;nan;nan;nan;1448.66;46.4684;-0.126734;0.873266
2021-04-28T18:41:39.961-04:00;5173;1;0;0.377988;0;nan;nan;nan;1264.41;50.6702;-0.122012;0.877988
2021-04-28T18:41:40.958-04:00;5190;1;0;0.38485;0;nan;nan;nan;1080.69;31.9991;-0.11515;0.88485
2021-04-28T18:41:41.955-04:00;5207;1;0;0.379284;0;nan;nan;nan;960.988;34.7674;-0.120716;0.879284
2021-04-28T18:41:42.953-04:00;5224;1;0;0.379921;0;nan;nan;nan;918.668;34.8853;-0.120079;0.879921
2021-04-28T18:41:43.949-04:00;5241;1;0;0.380164;0;nan;nan;nan;875.167;16.0563;-0.119836;0.880164
2021-04-28T18:41:44.946-04:00;5258;2;0;0.409545;0;nan;nan;nan;776.724;6.58719;-0.0904546;0.909545
2021-04-28T18:41:45.943-04:00;5275;2;0;0.395074;0;nan;nan;nan;643.544;25.5251;-0.104926;0.895074
2021-04-28T18:41:46.940-04:00;5292;1;0;0.41761;0;nan;nan;nan;520.244;34.4229;-0.0823901;0.91761
2021-04-28T18:41:47.936-04:00;5309;1;0;0.548709;0;nan;nan;nan;446.843;35.9342;0.0487092;1.04871
2021-04-28T18:41:48.934-04:00;5326;2;0;0.455931;0;nan;nan;nan;428.236;40.7093;-0.0440689;0.955931
